,ref_transcript,hyp_transcript,diff_name,diff_type,frequency,percentage
297,openai-async,revai_v2-async,they_their_sub_8ish,morpho_syntax,10,0.0012004801920768306
298,openai-async,revai_v2-async,if_whether_del_23b,morpho_syntax,8,0.0009603841536614646
299,openai-async,revai_v2-async,done_del_19g,morpho_syntax,2,0.00024009603841536616
300,openai-async,revai_v2-async,aint_sub_22a,morpho_syntax,6,0.0007202881152460984
301,openai-async,revai_v2-async,finna_19i,morpho_syntax,1,0.00012004801920768308
302,openai-async,revai_v2-async,all_combined,morpho_syntax,964,0.11572629051620648
303,openai-async,revai_v2-async,all_combined,reductions,41,0.004921968787515006
304,openai-async,revai_v2-async,all_combined,verbatim,1598,0.19183673469387755
305,rev,amber,final_s_del_20a_21b,morpho_syntax,146,0.013071895424836602
306,rev,amber,stem_for_past_20e,morpho_syntax,63,0.0056406124093473006
307,rev,amber,is_red_form,morpho_syntax,174,0.0155788342734354
308,rev,amber,is_lexical,morpho_syntax,486,0.043513295729250605
309,rev,amber,is_contraction,reductions,79,0.007073148894260901
310,rev,amber,filler_sub,verbatim,839,0.0751186319276569
311,rev,amber,filler_del,verbatim,533,0.04772137165368431
312,rev,amber,is_restart,verbatim,856,0.0766407019428776
313,rev,amber,del_restart,verbatim,238,0.0213089802130898
314,rev,amber,future_ll_del_19c,morpho_syntax,28,0.0025069388485988004
315,rev,amber,cop_aux_del_19a,morpho_syntax,96,0.008595218909481601
316,rev,amber,invariant_be_19b,morpho_syntax,44,0.0039394753335124
317,rev,amber,switch_sin_plu_20b,morpho_syntax,35,0.0031336735607485
318,rev,amber,add_pronoun_21d,morpho_syntax,87,0.0077894171367177
319,rev,amber,aint_sub_22a,morpho_syntax,9,0.0008058017727639
320,rev,amber,if_whether_del_23b,morpho_syntax,18,0.0016116035455278
321,rev,amber,gone_go_19n,morpho_syntax,13,0.0011639358939923002
322,rev,amber,finna_19i,morpho_syntax,5,0.00044766765153550004
323,rev,amber,they_their_sub_8ish,morpho_syntax,10,0.0008953353030710001
324,rev,amber,it_there_sub_24a,morpho_syntax,15,0.0013430029546065002
325,rev,amber,done_del_19g,morpho_syntax,3,0.00026860059092130003
326,rev,amber,all_combined,morpho_syntax,1232,0.11030530933834722
327,rev,amber,all_combined,reductions,79,0.007073148894260901
328,rev,amber,all_combined,verbatim,2466,0.22078968573730862
329,rev,openai-async,cop_aux_del_19a,morpho_syntax,77,0.008144700655807066
330,rev,openai-async,invariant_be_19b,morpho_syntax,36,0.003807911994922784
331,rev,openai-async,final_s_del_20a_21b,morpho_syntax,84,0.008885127988153163
332,rev,openai-async,switch_sin_plu_20b,morpho_syntax,13,0.0013750793314998941
333,rev,openai-async,stem_for_past_20e,morpho_syntax,45,0.00475988999365348
334,rev,openai-async,add_pronoun_21d,morpho_syntax,108,0.011423735984768353
335,rev,openai-async,it_there_sub_24a,morpho_syntax,15,0.0015866299978844933
336,rev,openai-async,they_their_sub_8ish,morpho_syntax,8,0.0008462026655383964
337,rev,openai-async,gone_go_19n,morpho_syntax,6,0.0006346519991537973
338,rev,openai-async,is_red_form,morpho_syntax,117,0.012375713983499048
339,rev,openai-async,is_lexical,morpho_syntax,433,0.04580071927226571
